SA2_CODE21,SA2_NAME21,tree_count,tree_sum,tree_pc,uhi_mean
206011106,Brunswick East,31914,5446,17.06461114,5.373580632
206011107,Brunswick West,46800,8895,19.00641026,5.435224643
206011109,Pascoe Vale South,43992,9058,20.59010729,5.596352849
206011495,Brunswick - North,35472,1745,4.919373027,5.520219386
206011496,Brunswick - South,40256,3213,7.981418919,5.658214864
206011497,Coburg - East,55169,10031,18.18231253,5.899809274
206011498,Coburg - West,46911,5041,10.7458805,5.633465823
206021110,Alphington - Fairfield,42488,10682,25.14121634,5.14907646
206021112,Thornbury,73576,12727,17.29776014,5.642590076
206021499,Northcote - East,51750,10215,19.73913043,5.071020585
206021500,Northcote - West,38745,8899,22.96812492,4.870135805
206031113,Ascot Vale,56498,9043,16.00587631,5.440688546
206031115,Flemington,23277,6483,27.85152726,5.054795118
206031116,Moonee Ponds,64134,8752,13.64642779,5.630692664
206031501,Essendon (West) - Aberfeldie,71971,11913,16.55250031,5.723493702
206031502,Essendon - East,52327,12474,23.83855371,5.70181762
206041117,Carlton,26780,4788,17.87901419,4.904564875
206041118,Docklands,36018,1494,4.147926037,3.785051269
206041119,East Melbourne,42723,15855,37.11115792,4.268106129
206041120,Flemington Racecourse,25176,3086,12.25770575,5.683612439
206041121,Kensington (Vic.),31629,5255,16.61449935,5.327239675
206041124,Parkville,59634,27444,46.02072643,5.062873414
206041125,South Yarra - West,22140,5935,26.80668473,4.226286842
206041127,West Melbourne - Industrial,91320,2243,2.456197985,5.896927779
206041503,Melbourne CBD - East,11815,860,7.278882776,4.221287396
206041504,Melbourne CBD - North,8274,539,6.514382403,4.151322099
206041505,Melbourne CBD - West,14811,1713,11.56572818,3.727512143
206041506,North Melbourne,35725,5074,14.20293912,5.285131497
206041507,Royal Botanic Gardens Victoria,19907,15163,76.16918672,2.704259967
206041508,Southbank (West) - South Wharf,12521,996,7.954636211,4.611263841
206041509,Southbank - East,11844,1373,11.59236744,4.751990603
206041510,West Melbourne - Residential,12149,1711,14.08346366,5.379704024
206051128,Albert Park,68929,9436,13.68944856,4.648577752
206051129,Elwood,37642,6476,17.20418681,4.254758857
206051130,Port Melbourne,41116,5799,14.10399844,4.957355797
206051134,St Kilda East,35584,7520,21.13309353,4.629013766
206051511,Port Melbourne Industrial,112641,7467,6.629024955,5.609695994
206051512,South Melbourne,27854,2611,9.373878079,5.077855982
